avg_cpu_usage,max_cpu_usage,avg_memory_usage,memory_growth_rate,request_rate,error_rate,p95_latency,time_since_last_deploy,deploy_happened_recently,upstream_error_rate,dependency_latency,error_log_count,timeout_log_count,oom_log_count,db_error_log_count,root_cause_label
77.34129249422159,92.07326017944537,56.47688538100692,0.35230298564080254,288.2923312638332,2.087452121667086,403.8494073842768,79.3494246380543,0,0.45348694583058174,126.76487463905941,4,2,0,2,cpu_saturation
34.84564337907547,41.84437412854591,59.47439821046639,0.22910340012621822,268.22201298626806,0.19353434159732064,191.91223068012394,525.466295504594,0,0.4645089824206378,101.1662540011591,8,2,0,1,normal
47.73700416833682,55.04629586002202,36.53321902638654,0.11194087339528935,243.47238476592165,0.5403286647884066,229.10613973565196,745.2667379585281,0,0.47754969191867147,116.43129907109446,4,5,2,3,normal
36.907876241487855,47.343111582678716,47.00992649534132,0.20917607765355023,200.62155426995537,0.4340984336487464,217.85562857558733,445.75994765349196,0,0.14214833426041595,179.74845135084908,2,7,2,0,normal
36.078918468678424,38.761343728017835,52.96120277064576,0.22610552721798893,300.255672832123,3.3299873149768167,129.23146289747928,16.718787854196687,1,0.21587093544692817,168.11745306134037,7,17,1,0,bad_deployment
75.03735704587042,64.2123709436809,61.42822814515021,0.2751933032686774,339.5515973521523,2.347157525568594,358.80958385335543,655.517928115241,0,0.019629787441543797,114.77436725880924,3,2,1,1,cpu_saturation
36.77938483794325,50.8469709247916,37.69135683566045,0.22274599346041296,365.3571377141214,0.017755029631631752,209.2316929266152,147.51660173754527,0,4.186824722454712,400.28069885580646,7,12,0,1,external_dependency_failure
37.54611883997129,43.777438018183844,41.10485570374477,0.11841897150345618,296.1449145292948,0.6023455924449931,213.83453996650096,807.1226253291495,0,0.4654366498072048,259.37688636246963,4,5,0,5,normal
56.658009712372625,56.16551014325105,46.57858287394619,0.10739533807885221,690.8540139291528,0.713032772109186,352.6421364755739,714.2680088744746,0,0.12322851275977338,156.14900423782112,8,6,2,3,traffic_spike
34.65337258149936,35.71089005659688,53.57304541936634,0.15854681946101087,304.0099356270407,0.2320639179112331,183.25913763026333,550.9086644515161,0,0.15693925814800633,177.18390995738704,2,6,1,1,normal
